nearest_intersection,date_wib,n_maids,n_pings,dow,is_weekday,month
jombor,2022-02-06,144,214,6,false,2022-02
jombor,2022-02-07,126,191,0,true,2022-02
jombor,2022-02-08,116,288,1,true,2022-02
jombor,2022-02-09,134,204,2,true,2022-02
jombor,2022-02-10,112,167,3,true,2022-02
jombor,2022-02-11,118,196,4,true,2022-02
jombor,2022-02-12,103,173,5,false,2022-02
jombor,2022-02-13,84,141,6,false,2022-02
jombor,2022-02-14,94,133,0,true,2022-02
jombor,2022-02-15,91,180,1,true,2022-02
jombor,2022-02-16,2,28,2,true,2022-02
jombor,2022-02-17,74,109,3,true,2022-02
jombor,2022-02-18,112,163,4,true,2022-02
jombor,2022-02-19,121,185,5,false,2022-02
jombor,2022-02-20,71,90,6,false,2022-02
jombor,2022-02-21,61,95,0,true,2022-02
jombor,2022-02-22,59,81,1,true,2022-02
jombor,2022-02-23,55,97,2,true,2022-02
jombor,2022-02-24,5,6,3,true,2022-02
jombor,2022-02-25,1,2,4,true,2022-02
jombor,2022-02-26,2,4,5,false,2022-02
jombor,2022-02-27,3,8,6,false,2022-02
jombor,2022-02-28,2,6,0,true,2022-02
jombor,2022-03-01,1,6,1,true,2022-03
jombor,2022-03-02,1,4,2,true,2022-03
jombor,2022-03-03,2,6,3,true,2022-03
jombor,2022-03-04,3,18,4,true,2022-03
jombor,2022-03-05,5,56,5,false,2022-03
jombor,2022-03-06,6,19,6,false,2022-03
jombor,2022-03-07,2,6,0,true,2022-03
jombor,2022-03-08,4,16,1,true,2022-03
jombor,2022-03-10,2,6,3,true,2022-03
jombor,2022-03-11,2,8,4,true,2022-03
jombor,2022-03-12,1,2,5,false,2022-03
jombor,2022-03-13,2,4,6,false,2022-03
jombor,2022-03-14,2,18,0,true,2022-03
jombor,2022-03-15,1,6,1,true,2022-03
jombor,2022-03-16,4,18,2,true,2022-03
jombor,2022-03-17,1,2,3,true,2022-03
jombor,2022-03-18,4,8,4,true,2022-03
jombor,2022-03-19,3,6,5,false,2022-03
jombor,2022-03-20,3,6,6,false,2022-03
jombor,2022-03-24,3,8,3,true,2022-03
jombor,2022-03-25,3,7,4,true,2022-03
jombor,2022-03-26,3,7,5,false,2022-03
jombor,2022-03-27,3,4,6,false,2022-03
jombor,2022-03-28,3,6,0,true,2022-03
jombor,2022-03-29,4,8,1,true,2022-03
jombor,2022-03-31,1,2,3,true,2022-03
jombor,2022-04-03,1,1,6,false,2022-04
jombor,2022-04-12,1,1,1,true,2022-04
jombor,2022-04-13,1,2,2,true,2022-04
jombor,2022-04-15,1,1,4,true,2022-04
jombor,2022-04-16,1,4,5,false,2022-04
jombor,2022-04-19,1,1,1,true,2022-04
jombor,2022-04-20,1,2,2,true,2022-04
jombor,2022-04-21,1,1,3,true,2022-04
jombor,2022-04-23,2,4,5,false,2022-04
jombor,2022-04-25,1,2,0,true,2022-04
jombor,2022-05-03,2,4,1,true,2022-05
jombor,2022-05-04,4,7,2,true,2022-05
jombor,2022-05-05,2,4,3,true,2022-05
jombor,2022-05-07,1,3,5,false,2022-05
jombor,2022-05-08,1,1,6,false,2022-05
jombor,2022-05-11,3,13,2,true,2022-05
jombor,2022-05-13,2,4,4,true,2022-05
jombor,2022-05-16,48,65,0,true,2022-05
jombor,2022-05-17,74,107,1,true,2022-05
jombor,2022-05-18,64,110,2,true,2022-05
jombor,2022-05-19,83,136,3,true,2022-05
jombor,2022-05-20,79,138,4,true,2022-05
jombor,2022-05-21,110,190,5,false,2022-05
jombor,2022-05-22,97,148,6,false,2022-05
jombor,2022-05-23,83,107,0,true,2022-05
jombor,2022-05-24,88,155,1,true,2022-05
jombor,2022-05-25,85,125,2,true,2022-05
jombor,2022-05-26,112,176,3,true,2022-05
jombor,2022-05-27,98,145,4,true,2022-05
jombor,2022-05-28,121,180,5,false,2022-05
jombor,2022-05-29,102,149,6,false,2022-05
jombor,2022-05-30,77,104,0,true,2022-05
jombor,2022-05-31,78,164,1,true,2022-05
jombor,2022-06-01,10,14,2,true,2022-06
jombor,2022-06-02,106,152,3,true,2022-06
jombor,2022-06-03,120,343,4,true,2022-06
jombor,2022-06-04,144,210,5,false,2022-06
jombor,2022-06-05,35,52,6,false,2022-06
jombor,2022-06-06,1,1,0,true,2022-06
jombor,2022-06-07,1,3,1,true,2022-06
kentungan,2021-10-25,1,1,0,true,2021-10
kentungan,2021-10-26,2,2,1,true,2021-10
kentungan,2021-10-27,1,1,2,true,2021-10
kentungan,2021-10-28,2,4,3,true,2021-10
kentungan,2021-10-29,4,14,4,true,2021-10
kentungan,2021-10-30,1,2,5,false,2021-10
kentungan,2021-10-31,1,2,6,false,2021-10
kentungan,2021-11-01,2,4,0,true,2021-11
kentungan,2021-11-02,5,10,1,true,2021-11
kentungan,2021-11-03,1,8,2,true,2021-11
kentungan,2021-11-04,4,29,3,true,2021-11
kentungan,2021-11-05,2,49,4,true,2021-11
kentungan,2021-11-06,5,31,5,false,2021-11
kentungan,2021-11-07,3,40,6,false,2021-11
kentungan,2021-11-08,4,11,0,true,2021-11
kentungan,2021-11-09,5,45,1,true,2021-11
kentungan,2021-11-10,1,9,2,true,2021-11
kentungan,2021-11-11,2,3,3,true,2021-11
kentungan,2021-11-12,1,2,4,true,2021-11
kentungan,2021-11-13,4,20,5,false,2021-11
kentungan,2021-11-14,1,4,6,false,2021-11
kentungan,2021-11-15,4,26,0,true,2021-11
kentungan,2021-11-16,5,24,1,true,2021-11
kentungan,2021-11-17,5,15,2,true,2021-11
kentungan,2021-11-18,5,50,3,true,2021-11
kentungan,2021-11-19,3,8,4,true,2021-11
kentungan,2021-11-20,6,25,5,false,2021-11
kentungan,2021-11-21,6,19,6,false,2021-11
kentungan,2021-11-22,5,21,0,true,2021-11
kentungan,2021-11-23,4,20,1,true,2021-11
kentungan,2021-11-24,2,9,2,true,2021-11
kentungan,2021-11-25,1,4,3,true,2021-11
kentungan,2021-11-26,3,20,4,true,2021-11
kentungan,2021-11-27,3,26,5,false,2021-11
kentungan,2021-11-28,1,2,6,false,2021-11
kentungan,2021-11-29,1,2,0,true,2021-11
kentungan,2021-11-30,2,10,1,true,2021-11
kentungan,2021-12-01,1,2,2,true,2021-12
kentungan,2021-12-02,2,11,3,true,2021-12
kentungan,2021-12-04,1,6,5,false,2021-12
kentungan,2021-12-05,2,9,6,false,2021-12
kentungan,2021-12-06,2,8,0,true,2021-12
kentungan,2021-12-08,2,6,2,true,2021-12
kentungan,2021-12-09,1,2,3,true,2021-12
kentungan,2021-12-10,1,2,4,true,2021-12
kentungan,2021-12-12,1,2,6,false,2021-12
kentungan,2021-12-13,1,2,0,true,2021-12
kentungan,2021-12-14,2,4,1,true,2021-12
kentungan,2021-12-15,4,15,2,true,2021-12
kentungan,2021-12-16,4,8,3,true,2021-12
kentungan,2021-12-17,3,6,4,true,2021-12
kentungan,2021-12-18,3,8,5,false,2021-12
kentungan,2021-12-19,2,10,6,false,2021-12
kentungan,2021-12-20,1,4,0,true,2021-12
kentungan,2021-12-22,4,10,2,true,2021-12
kentungan,2021-12-23,3,8,3,true,2021-12
kentungan,2021-12-24,1,1,4,true,2021-12
kentungan,2021-12-25,4,7,5,false,2021-12
kentungan,2021-12-27,1,2,0,true,2021-12
kentungan,2021-12-28,1,2,1,true,2021-12
kentungan,2021-12-29,1,2,2,true,2021-12
kentungan,2021-12-30,1,4,3,true,2021-12
kentungan,2022-01-01,1,10,5,false,2022-01
kentungan,2022-01-02,2,6,6,false,2022-01
kentungan,2022-01-03,1,2,0,true,2022-01
kentungan,2022-01-04,2,8,1,true,2022-01
kentungan,2022-01-05,4,18,2,true,2022-01
kentungan,2022-01-06,2,8,3,true,2022-01
kentungan,2022-01-07,2,9,4,true,2022-01
kentungan,2022-01-10,1,3,0,true,2022-01
kentungan,2022-01-11,5,18,1,true,2022-01
kentungan,2022-01-12,7,41,2,true,2022-01
kentungan,2022-01-13,3,13,3,true,2022-01
kentungan,2022-01-14,2,13,4,true,2022-01
kentungan,2022-01-15,3,7,5,false,2022-01
kentungan,2022-01-16,2,6,6,false,2022-01
kentungan,2022-01-17,1,4,0,true,2022-01
kentungan,2022-01-18,1,2,1,true,2022-01
kentungan,2022-01-19,42,62,2,true,2022-01
kentungan,2022-01-20,74,112,3,true,2022-01
kentungan,2022-01-21,73,97,4,true,2022-01
kentungan,2022-01-22,55,108,5,false,2022-01
kentungan,2022-01-23,39,54,6,false,2022-01
kentungan,2022-01-24,52,106,0,true,2022-01
kentungan,2022-01-25,54,83,1,true,2022-01
kentungan,2022-01-26,62,114,2,true,2022-01
kentungan,2022-01-27,65,97,3,true,2022-01
kentungan,2022-01-28,65,93,4,true,2022-01
kentungan,2022-01-29,76,128,5,false,2022-01
kentungan,2022-01-30,84,110,6,false,2022-01
kentungan,2022-01-31,91,139,0,true,2022-01
kentungan,2022-02-01,120,176,1,true,2022-02
kentungan,2022-02-02,92,143,2,true,2022-02
kentungan,2022-02-03,99,162,3,true,2022-02
kentungan,2022-02-04,103,152,4,true,2022-02
kentungan,2022-02-05,117,194,5,false,2022-02
kentungan,2022-02-06,181,271,6,false,2022-02
kentungan,2022-02-07,151,216,0,true,2022-02
kentungan,2022-02-08,140,201,1,true,2022-02
kentungan,2022-02-09,132,175,2,true,2022-02
kentungan,2022-02-10,107,152,3,true,2022-02
kentungan,2022-02-11,149,269,4,true,2022-02
kentungan,2022-02-12,181,291,5,false,2022-02
kentungan,2022-02-13,113,160,6,false,2022-02
kentungan,2022-02-14,131,238,0,true,2022-02
kentungan,2022-02-15,96,136,1,true,2022-02
kentungan,2022-02-16,3,6,2,true,2022-02
kentungan,2022-02-17,126,274,3,true,2022-02
kentungan,2022-02-18,136,244,4,true,2022-02
kentungan,2022-02-19,155,224,5,false,2022-02
kentungan,2022-02-20,106,169,6,false,2022-02
kentungan,2022-02-21,73,135,0,true,2022-02
kentungan,2022-02-22,83,124,1,true,2022-02
kentungan,2022-02-23,69,102,2,true,2022-02
kentungan,2022-02-24,3,9,3,true,2022-02
kentungan,2022-02-25,5,10,4,true,2022-02
kentungan,2022-02-26,2,6,5,false,2022-02
kentungan,2022-02-27,5,8,6,false,2022-02
kentungan,2022-02-28,1,2,0,true,2022-02
kentungan,2022-03-01,5,23,1,true,2022-03
kentungan,2022-03-02,5,44,2,true,2022-03
kentungan,2022-03-03,3,22,3,true,2022-03
kentungan,2022-03-04,2,4,4,true,2022-03
kentungan,2022-03-05,6,19,5,false,2022-03
kentungan,2022-03-06,6,16,6,false,2022-03
kentungan,2022-03-08,5,12,1,true,2022-03
kentungan,2022-03-10,4,21,3,true,2022-03
kentungan,2022-03-11,3,7,4,true,2022-03
kentungan,2022-03-12,3,9,5,false,2022-03
kentungan,2022-03-14,4,104,0,true,2022-03
kentungan,2022-03-15,4,15,1,true,2022-03
kentungan,2022-03-16,6,23,2,true,2022-03
kentungan,2022-03-17,1,2,3,true,2022-03
kentungan,2022-03-19,2,8,5,false,2022-03
kentungan,2022-03-20,2,4,6,false,2022-03
kentungan,2022-03-22,1,4,1,true,2022-03
kentungan,2022-03-24,2,4,3,true,2022-03
kentungan,2022-03-25,2,3,4,true,2022-03
kentungan,2022-03-26,3,8,5,false,2022-03
kentungan,2022-03-27,2,4,6,false,2022-03
kentungan,2022-03-29,2,3,1,true,2022-03
kentungan,2022-03-30,2,12,2,true,2022-03
kentungan,2022-04-02,1,2,5,false,2022-04
kentungan,2022-04-05,2,3,1,true,2022-04
kentungan,2022-04-06,1,1,2,true,2022-04
kentungan,2022-04-08,1,2,4,true,2022-04
kentungan,2022-04-12,1,1,1,true,2022-04
kentungan,2022-04-14,1,2,3,true,2022-04
kentungan,2022-04-15,2,3,4,true,2022-04
kentungan,2022-04-21,1,2,3,true,2022-04
kentungan,2022-04-24,1,2,6,false,2022-04
kentungan,2022-04-25,1,2,0,true,2022-04
kentungan,2022-04-29,1,1,4,true,2022-04
kentungan,2022-05-02,1,2,0,true,2022-05
kentungan,2022-05-03,2,3,1,true,2022-05
kentungan,2022-05-04,1,1,2,true,2022-05
kentungan,2022-05-07,3,23,5,false,2022-05
kentungan,2022-05-08,2,16,6,false,2022-05
kentungan,2022-05-13,2,32,4,true,2022-05
kentungan,2022-05-14,1,6,5,false,2022-05
kentungan,2022-05-15,1,10,6,false,2022-05
kentungan,2022-05-16,64,120,0,true,2022-05
kentungan,2022-05-17,79,165,1,true,2022-05
kentungan,2022-05-18,79,163,2,true,2022-05
kentungan,2022-05-19,98,165,3,true,2022-05
kentungan,2022-05-20,92,157,4,true,2022-05
kentungan,2022-05-21,138,345,5,false,2022-05
kentungan,2022-05-22,117,198,6,false,2022-05
kentungan,2022-05-23,97,206,0,true,2022-05
kentungan,2022-05-24,111,188,1,true,2022-05
kentungan,2022-05-25,118,209,2,true,2022-05
kentungan,2022-05-26,134,223,3,true,2022-05
kentungan,2022-05-27,147,299,4,true,2022-05
kentungan,2022-05-28,188,336,5,false,2022-05
kentungan,2022-05-29,157,293,6,false,2022-05
kentungan,2022-05-30,115,213,0,true,2022-05
kentungan,2022-05-31,95,174,1,true,2022-05
kentungan,2022-06-01,8,8,2,true,2022-06
kentungan,2022-06-02,162,284,3,true,2022-06
kentungan,2022-06-03,167,336,4,true,2022-06
kentungan,2022-06-04,172,323,5,false,2022-06
kentungan,2022-06-05,31,59,6,false,2022-06
kentungan,2022-06-06,4,9,0,true,2022-06
kentungan,2022-06-07,2,16,1,true,2022-06
kronggahan,2021-10-26,1,1,1,true,2021-10
